project_id,title,description
1,Walmart Sales Forecasting Data Science Project,"Every Departmental store chain like Walmart wants to predict the store sales in the future so that inventory planning can be done. Along with that, sales prediction helps to increase/decrease store staff based on the rush (More sales can mean more customers are coming to the stores). Also, it is always a good idea to do sales and revenue forecasting to better understand the company's cash-flows and overall growth.
For inventory planning, you also need to know what products (or category of products aka department) will be utilized more. Under-stock some products and your sales are hit. Over-stock items like perishables and you run into losses if the product expires. That's why the sales prediction is done at a combination of store and department level (and sometimes even at product level for high-selling products).

Objective of Retail Analysis with Walmart Data Python Project
In this sales forecasting project, we will use the historical sales data of 45 Walmart stores based on store location, department, and week. Each store&rsquo;s land area and type have been provided, and holiday weeks have been marked. Along with these, price markdown data (almost like discount data) has been given. A few macro-indicators like CPI, Unemployment rate, Fuel price, etc., are also provided. Our goal is to analyze the Walmart sales data and predict their stores&rsquo; sales for all the weeks in a year.
&nbsp;

Data Science Techniques used for Walmart Store Sales Forecasting
For this Walmart project, you will learn about exciting data science tools and methods that data scientists use almost every day in their job. Here is an overview of the techniques used in this project.
Exploratory Data Analysis (EDA)
Handling large amounts of data is not an easy task. Before deciding upon which mathematical methods to use, one must draw statistical inferences from the data. Parameters like mean, median, mode, minimum and maximum value, etc., assist in understanding which models should be used for preprocessing. This project will use the Walmart dataset and plot various graphs to understand the overall distribution of different variables using Python libraries like NumPy, Pandas, and Seaborn.
Data Preprocessing
Once the data has been analyzed, the next task is to prepare the data for applying machine learning (ML) models. Many negative values do not make sense in the real world. Data scientists use methods like averaging the neighborhood values, making them all zero, adding a specific number to all the variables, etc., to pre-process data. In this Walmart sales prediction project, you will learn how to handle negative values, missing values, and duplicate values of different variables. Additionally, you will learn how to convert variables of varying data types into a specific data type for easy application of ML algorithms.
Data Merging
Information is often stored in separate condensed data files to save on hardware. A data scientist then merges the different data files to draw inferences. In this retail analysis with Walmarts dataset project, you will merge three separate data files for creating testing and validation datasets. The dataset will then be used for sales prediction.
Statistical Modelling
If we look at the dataset in this project at a more granular level, one can quickly build a Walmart sales forecasting model using elementary statistics. This project will guide you on choosing specific variables for forecasting sales with the help of more straightforward statistical methods.
Time Series Forecasting
After implementing essential statistical tools for this Walmart project, you will learn about various time series forecasting models as this project aims to predict sales with respect to time. The method discussed in detail in this project solution is the AutoRegressive Integrated Moving Average (ARIMA) model. You will get to explore how to prepare the dataset for implementing the ARIMA model and draw valuable inferences.
Machine Learning Algorithms
The most crucial part of any data sci project is the implementation of a machine learning/deep learning model. You will learn how to implement regression models like the random forest for sales forecasting using the Walmart dataset in this project. You will learn how to perform hyperparameter tuning for training the model efficiently.
Comparing Different Machine Learning Models
Finally, the project will help you prepare the Walmart sales prediction project report by comparing the performance of different models discussed above. You will use a few statistical formulae to analyze their performance and some metrics to choose the best model.
&nbsp;
Frequently Asked Questions on Walmart Data Science Project
&nbsp;
What type of forecasting does Walmart use?
Walmart uses its data for time series analysis and prediction methods for forecasting its sales across its different stores across the United States. As per the company&rsquo;s distinguished data scientist and director of data science, John Bowman, Walmart estimates the predictions for a full 52-week horizon in weekly increments, and produces a new set of forecasts every week, over the weekend. Additionally, the company has a 12-hour window to complete all of the forecasting tasks, and about three days to evaluate all of the training tasks. The methods include Deep Learning models as well and Walmart also assesses the forecasts which it has received from its vendors for comparison and evaluation.
&nbsp;
What are the methods of sales forecasting?&nbsp;
Here are a few methods used for sales forecasting:

Time-series forecasting models like ARIMA.

Machine learning models like Random forests.

Deep Learning models like Neural Prophet and SilverKite

"
2,Credit Card Default Prediction using Machine learning techniques,"Business Context
Banks are primarily known for the money lending business. The more money they lend to people whom they can get good interest with timely repayment, the more revenue is for the banks. This not only save banks money from having bad loans but also improves image in the public figure and among the regulatory bodies.
The better the banks can identify people who are likely to miss their repayment charges, the more in advance they can take purposeful actions whether to remind them in person or take some strict action to avoid delinquency.
In cases where a borrower is not paying monthly charges when credit is issued against some monetary thing, two terms are frequently used which are delinquent and default.
&nbsp;
Delinquent in general is a slightly mild term where a borrower is not repaying charges and is behind by certain months whereas Default is a term where a borrower has not been able to pay charges and is behind for a long period of months and is unlikely to repay the charges.
This case study is about identifying the borrowers who are likely to default in the next two years with serious delinquency of having delinquent more than 3 months.
We will also use TrueFoundry's ML Monitoring and Experiment tracking Solution known as MLFoundry to log the experiments, models, metrics, data &amp; features which can be used to generate informative dashboards and insights.&nbsp;
&nbsp;
&nbsp;
Objective
Building a model using the inputs/attributes which are general profile and historical records of a borrower to predict whether one is likely to have serious delinquency in the next 2 years
We will be using Python as a tool to perform all kind of operations in this credit score prediction machine learning project.&nbsp;
Dataset
In this credit scoring system project, we will use a dataset containing two files- training data and test data. We have a general profile about the borrower such as age, Monthly Income, Dependents, and the historical data such as what is the Debt Ratio, what ratio of the amount is owed with respect to the credit limit, and the no of times defaulted in the past one, two, three months.
We will be using all these features to predict whether the borrower is likely to default in the next 2 years or not having a delinquency of more than 3 months.
Main Libraries used
Pandas for data manipulation, aggregation
Matplotlib and Seaborn for visualization and behavior with respect to the target variable
NumPy for computationally efficient operations
Scikit Learn for model training, model optimization, and metrics calculation
Imblearn for tackling class imbalance problem
Shap and LIME for model interpretability
Keras for Neural Network(Deep Learning architecture)
Approach for Credit Card Default Prediction in Python


Data Cleaning


Data cleaning is the process of organizing and correcting data that is badly structured, incomplete, duplicate or, otherwise messy. It involves eliminating inconsistencies in data, as well as reorganizing data to make it much easier to use. Standardization of dates and addresses, ensuring consistent field values (e.g., ""data cleaning"" and ""Data Cleaning""), parsing area codes from phone numbers, etc., are all instances of data cleaning.&nbsp;
In this project, we will treat outliers, resolve some accounting errors, and treat missing value values.


Feature Engineering


When developing a prediction model using machine learning or statistical modeling, feature engineering refers to the method of selecting and transforming the most significant variables from actual data using industry knowledge. The purpose of feature engineering and selection is to boost machine learning algorithms' efficiency. This credit score prediction project entails applying feature engineering techniques to the training and test dataset. It also involves scaling features with Box-Cox transformation, standardization, upsampling, downsampling, and SMOTE.
Deep Learning Algorithms
Deep Learning is a set of algorithms driven by the human brain's data-processing and pattern-creation capabilities, which are advancing and developing on the idea of a single model architecture termed Artificial Neural Network. Deep learning is a part of Machine Learning that does data processing and calculations on a large quantity of data using numerous layers of neural networks. In this credit scoring system project, we have built a neural network model and fitted it on Box-Cox transformed credit score dataset, Standardized credit score dataset, etc. For this credit scoring system project, we have a number of deep learning algorithms (Logistic regression, Random Forest, XGBoost, etc.) being applied to the prediction model.&nbsp;


ROC AUC Curve


The Receiver Operating Characteristic curve, or the ROC curve, is a graph of the false positive rate (x-axis) vs. the true positive rate (y-axis) for a variety of candidate threshold values ranging from 0.0 to 1.0. The roc_auc_score() function computes the area under the ROC curve. The project involves plotting ROC AUC plots for each of the machine learning algorithms and for each transformed dataset.


MLFoundry


TrueFoundry's MLFoundry experiment tracking and model monitoring system combines the strengths of open-source tools such as MLFlow, Whylogs, and others. It comes with a shareable dashboard where you can keep track of your tests and model, among other things.&nbsp; We create a client for the MLFoundry repository and assign a project name. To make experiment tracking easier, we assign different names for different experiments as well as different runs.&nbsp;
FAQs
Q1. What are the types of credit scoring models?
FICO and VantageScore are the two different types of credit scoring models.
Q2. What is the most common credit scoring system?
The FICO scoring system is the most commonly used and reliable scoring system due to its proven track record.
"
3,Analyse Yelp Dataset with Spark & Parquet Format on Azure Databricks,"Business Overview
Azure Databricks is a data analytics tool tailored for the Microsoft Azure cloud services platform. In massive data pipelines, raw and structured data is imported into Azure in batches via Azure Data Factory or streamed near real-time via Apache Kafka, Event Hub, or IoT Hub. This data is stored in a data lake for long-term sustained storage, either in Azure Blob Storage or Azure Data Lake Storage. Azure Databricks is utilized to read data from different data sources and transform it into breakthrough insights using Spark as part of the analytics workflow.
Yelp is a community review site and an American multinational firm based in San Francisco, California. It publishes crowd-sourced reviews of local businesses as well as the online reservation service Yelp Reservations. Yelp has made a portion of their data available in order to launch a new activity called the Yelp Dataset Challenge, which allows anyone to do research or analysis to find what insights are buried in their data. Due to the bulk of the data, this project only selects a subset of Yelp data in a zip file named 'dataset.zip,' which comprises three JSON files, including 'business.json', which provides business data such as location data, attributes, and categories.
Data Pipeline
A data pipeline is a technique for transferring data from one system to another. The data may or may not be updated, and it may be handled in real-time (or streaming) rather than in batches. The data pipeline encompasses everything from harvesting or acquiring data using various methods to storing raw data, cleaning, validating, and transforming data into a query-worthy format, displaying KPIs, and managing the above process.
Approach
- &nbsp; Read yelp datasets in ADLS and convert JSON to parquet for better performance.
- &nbsp; Convert JSON to Delta Format.
- &nbsp; Total records in each dataset.
- &nbsp; Partition tip dataset tip by a date column.
- &nbsp; repartition() vs coalesce()
- &nbsp; Find the top 3 users based on their total number of reviews.
- &nbsp; Find the top 10 users with the most fans
- &nbsp; Analyse the top 10 categories by a number of reviews.
- &nbsp; Analyse top businesses which have over 1000 reviews.
- &nbsp; Analyse Business Data: Number of restaurants per state.
- &nbsp; Analyze the top 3 restaurants in each state.
- &nbsp; List the top restaurants in a state by the number of reviews.
- &nbsp; Numbers of restaurants in Arizona state per city.
- &nbsp; Broadcast Join: restaurants as per review ratings in Pheonix city.
- &nbsp; Most rated Italian restaurant in Pheonix.
Tech Stack
➔ Language: Python3
➔ Services: Azure Data factory, Azure Databricks, ADLS
Architecture&nbsp;

&nbsp;"
4,Expedia Hotel Recommendations Data Science Project,"Planning your dream vacation, or even a weekend escape, can be an overwhelming affair. With hundreds, even thousands, of hotels to choose from at every destination,&nbsp;it's difficult to know which will suit your personal preferences. Should you go with an old standby with those pillow mints you like, or risk a new hotel with a&nbsp;trendy pool bar?&nbsp;

Expedia wants to take the proverbial rabbit hole out of hotel search by providing personalized hotel recommendations to their users. This is no small task for a site with&nbsp;hundreds of millions of visitors every month!
Currently,&nbsp;Expedia uses&nbsp;search parameters to adjust their hotel recommendations, but there aren't enough customer specific data to personalize them&nbsp;for each&nbsp;user. In this competition, Expedia is challenging you to contextualize customer data and predict the likelihood a user will&nbsp;stay at 100 different hotel groups.
Data Description:
Expedia has provided you logs of customer behavior. These include what customers searched for, how they interacted with search results (click/book), whether or not the search result was a travel package. The data in this project is a random selection from Expedia and is not representative of the overall statistics.

Expedia is interested in predicting which hotel group a user is going to book. Expedia has in-house algorithms to form hotel clusters, where similar hotels for a search (based on historical price, customer star ratings, geographical locations relative to city center, etc) are grouped together. These hotel clusters serve as good identifiers to which types of hotels people are going to book, while avoiding outliers such as new hotels that don't have historical data.
Your goal of this project is to predict the booking outcome (hotel cluster) for a user event, based on their search and other attributes associated with that user event.
The train and test datasets are split based on time: training data from 2013 and 2014, while test data are from 2015. Training data includes all the users in the logs, including both click events and booking events. Test data only includes booking events.
destinations.csv data consists of features extracted from hotel reviews text.
Note that some srch_destination_id's in the train/test files don't exist in the destinations.csv file. This is because some hotels are new and don't have enough features in the latent space. Your algorithm should be able to handle this missing information.
Field Description:
train/test.csv


Column name
Description
Data type




date_time
Timestamp
string


site_name
ID of the Expedia point of sale (i.e. Expedia.com,&nbsp;Expedia.co.uk,&nbsp;Expedia.co.jp, ...)
int


posa_continent
ID of continent associated with site_name
int


user_location_country
The ID of the country the customer is located
int


user_location_region
The ID of the region the customer is located
int


user_location_city
The ID of the city the customer is located
int


orig_destination_distance
Physical distance between a hotel and a customer at the time of search.&nbsp;A null means the distance could not be calculated
double


user_id
ID of user
int


is_mobile
1 when a user connected from a mobile device, 0 otherwise
tinyint


is_package
1 if the click/booking was generated as a part of a package (i.e. combined with a flight), 0 otherwise
int


channel
ID of a marketing channel
int


srch_ci
Checkin date
string


srch_co
Checkout date
string


srch_adults_cnt
The number of adults specified in the hotel room
int


srch_children_cnt
The number of (extra occupancy) children specified in the hotel room
int


srch_rm_cnt
The number of hotel rooms specified in the search
int


srch_destination_id
ID of the destination where the hotel search was performed
int


srch_destination_type_id
Type of destination
int


hotel_continent
Hotel continent
int


hotel_country
Hotel country
int


hotel_market
Hotel market
int


is_booking
1 if a booking, 0 if a click
tinyint


cnt
Numer of similar events in the context of the same user session
bigint


hotel_cluster
ID of a hotel cluster
int



&nbsp;
destinations.csv


Column name
Description
Data type




srch_destination_id
ID of the destination where the hotel search was performed
int


d1-d149
latent description of search regions
double


"
5,Data Science Project in Python on BigMart Sales Prediction,"Occasionally, we all love to go on a shopping spree, only to realize later that most of the things we purchase may not be precisely valuable. One of the primary reasons behind this could be store executives&rsquo; clever placement of different products. You might be wondering if that is the case, how can one then protect themselves from falling for such smartly curated traps? Find out the answer to it as we discuss briefly one of the most straightforward machine learning project ideas for beginners: BigMart Sales Prediction.
Introduction to Big Mart Sales Prediction Project in Python
The BigMart sales prediction dataset contains 2013's annual sales records for 1559 products across ten stores in different cities. Such a vast amount of data can reveal insights about apparent customer preferences as specific attributes of each product and store have been defined in the dataset.&nbsp;

&nbsp;
This data science project aims to build a predictive model and determine the sales of each product at a particular store. Using this model, BigMart will try to understand the properties of products and stores, which play a crucial role in increasing sales and developing better business strategies.
Tech Stack
Language: Python
Libraries: Pandas, NumPy, MatplotLib, sklearn
Data Science Concepts You Will Master in this BigMart Sales Prediction ML Project
We have briefly discussed the key learning takeaways from this python sales prediction project.

Exploratory Data Analysis
Understanding the dataset and the distribution of variables is critical in implementing any ML project ideas. Thus, the first data science concept to explore in this big mart sales prediction project is plotting graphs to understand the data. You will learn how to generate visualizations that help analyze outliers threshold and reveal variables containing missing values. Furthermore, the graphs will also assist in determining insights about different stores, for example, how the size of an outlet is related to the profit it generates. Visualizing data also helps decide thresholds for converting categorical variables into numerical values and deducing irrelevant feature variables.
Data Preprocessing
The Bigmart sales dataset contains different types of variables, and this project will assist you in processing different data types. Additionally, the data has missing values as some stores do not report all the data due to technical glitches. Hence, you get to learn how to treat them accordingly. Also, you will learn about two essential methods: label encoding and one-hot encoding for treating categorical variables. The dataset also contains many outliers, and it is not a good practice to train your model with those distant values. This big mart sales prediction machine learning project will thus help you in learning how to eliminate specific outliers from the dataset. Furthermore, you will learn how to perform and create the test-train dataset to apply machine learning algorithms.
Machine Learning Algorithms
As predicting the Big mart sales is a regression problem, this project will guide you on applying regression machine learning algorithms. You will learn about linear regression, the Bayesian model, ensemble bagging model like the random forest, boosting models, neural network, and MLP regressor. Additionally, the project will teach you about hyperparameter tuning for all the models that one can use to prepare the Bigmart sales prediction project report. This project is one of the excellent ML Projects for beginners to explore how machine learning and data science tools assist in solving large-scale business problems.
FAQs on Sales Prediction in Python
1) Which algorithm is best for sales prediction?
Various models are used for predicting sales. These include random forest, linear regression, ARIMA, LSTM, and XGBoost.Based on the given dataset, you can test any of these machine learning models for efficiency after hyperparameter tuning.
&nbsp;
2) How does Python predict future sales?&nbsp;
Python contains a sklearn library that contains various regression models like the random forest, linear regression, etc., that one can use for sales prediction. Another way to predict sales is to use Time series models for prediction.
&nbsp;"
6,Inventory Demand Forecasting using Machine Learning in R,"Business Overview
&nbsp;
Demand Forecasting is a process by which the future customer demand of any product is estimated by using the available data for the product. Demand forecasts are important to the most basic processes in any organization. To plan and deliver products and services is necessary to know what the future might hold. A demand forecast is important to plan all business decisions: sales, finance, production management, logistics and also marketing. To be able to predict next purchases is a valuable thing for any business. If we make the best forecast using data then it can help businesses to provide consumers with the right product at the right place at the right time which is very much important to business to get more profit margin.
&nbsp;
Aim
To Forecast Inventory demand using historical sales data of Grupo Bimbo bakery products in R.
&nbsp;&nbsp;
Data Description
The dataset used is from Mexican multinational company, Grupo Bimbo. The delivery chain is present in countries of America, Europe, Asia, and Africa. It has an annual sales volume of 15 billion dollars. Grupo Bimbo delivers fresh bakery products to 1 million stores along its 45,000 routes across Mexico. There are five datasets available. 
&nbsp;

train.csv: It contains data available for training. The dataset contains about 7.4 billion entries over 11 features. 
train.csv: It contains data available for testing. 
cliente_tabla.csv: It contains the data of 93 million clients over 2 different features.
producto_tabla.csv : It contains the data for 2592 products.
town_state.csv : It contains the data for 790 towns&nbsp;

Tech Stack

Language : R
Libraries : dplyr, ggplot2, caTools, xgboost, data.table, Matrix, lightgbm, gbm, caret, zoo, DataCombine, e1071

&nbsp;
Approach 
&nbsp;

Exploratory data analysis (EDA)

Data visualization
Inference about features
Feature engineering


&nbsp;

Data cleaning (outlier/missing values/categorical) 

Missing value detection 
Replacing special characters in data


&nbsp;

Feature Engineering

Adding lag columns for target variable
Adding moving average columns for target variable


&nbsp;

Model building on training data

XGBoost
GBM
SVM


&nbsp;

Model validation

RMSE


&nbsp;

Conclusion
"
7,Machine Learning Project to Forecast Rossmann Store Sales,"Rossmann operates over 3,000 drug stores in 7 European countries. Currently, Rossmann store managers are tasked with predicting their daily sales for up to six weeks in advance. Store sales are influenced by many factors, including promotions, competition, school and state holidays, seasonality, and locality. With thousands of individual managers predicting sales based on their unique circumstances, the accuracy of results can be quite varied.

In this machine learning project, you will work on forecasting 6 weeks of daily sales for 1,115 stores located across Germany. Reliable sales forecasts enable store managers to create effective staff schedules that increase productivity and motivation. By helping Rossmann create a robust prediction model, you will help store managers stay focused on what&rsquo;s most important to them: their customers and their teams!&nbsp;"
8,Build an Azure Recommendation Engine on Movielens Dataset,"What is Dataset Analysis?&nbsp;
Dataset Analysis is defined as manipulating or processing unstructured data or raw data to draw valuable insights and conclusions that will help derive critical decisions that will add some business value. The dataset analysis process is followed by organizing the dataset, transforming the dataset, visualizing the dataset, and finally modeling the dataset to derive predictions for solving the business problems, making informed decisions, and effectively planning for the future.&nbsp;
Data Pipeline:&nbsp;
Data pipeline involves extracting or capturing data using various tools, storing raw data, cleaning, validating data, transforming data into a query-worthy format, visualizing KPIs, and orchestration of the above process. It refers to a system for moving data from one system to another. The data may or may not be transformed, and it may be processed in real-time (or streaming) instead of batches.
What is the Agenda of the project?&nbsp;
The Agenda of the project involves deriving Movie Recommendations using Python and Spark on Microsoft Azure. We first understand the problem and download the Movielens dataset from the grouplens website. Then a subscription is set up for using Microsoft Azure, and categorization of resources is done into a resource group. A standard storage account is a setup to store all the data required for serving movie recommendations using Python and Spark on Azure, followed by creating a standard storage blob account in the same resource group. Firstly, we make containers in a standard storage account and standard storage blob account and upload the movielens zip file dataset in its standard storage blob account. Then we create an Azure data factory, a copy data pipeline, and start link storage for standard blob storage account in the Azure data factory. We are copying data from Azure blob storage to Azure data lake storage using a copy data pipeline in the Azure data factory. It is followed by creating the databricks workspace, cluster on databricks, and accessing Azure data lake storage from databricks. We are creating mount points and extracting the zip file to get CSV files. Finally, we upload files into databricks, read the datasets into Spark dataframes in databricks, and analyze the dataset to get the movie recommendations.
Usage of Dataset:&nbsp;
Here we are going to use Movielens data in the following ways:


Extraction: During the extraction process, the Movielens data zip file is extracted to get the CSV files out of it in two ways: the Databricks local file system(DFS) and the Azure data factory(ADF) copy pipeline.


Transformation and Load: During the transformation and load process, the uploaded dataset in Spark is read into Spark dataframes. Data tags are also read into Spark in Databricks, and output is displayed through Bar chart. And dataset is finally analyzed in Databricks into Spark, and movies are recommended.&nbsp;


Data Analysis:&nbsp;


From the grouplens website, data is downloaded containing names of movies, ratings given to the movies, links of the movies, and tags assigned to the movies.


Resource manager is created in Azure to categorize the resources required, followed by a Storage account.


The Copy Data pipeline is created to copy the data from Azure blob storage to Azure data lake storage in the Azure data factory.&nbsp;


The Databricks workspace and cluster are created and accessed Azure data lake storage from databricks followed by the creation of Mount pairs.&nbsp;


The extraction process is done by extracting the Movielens data zip file to get the CSV files out of it using the Databricks file system(DFS) and using the Azure data factory(ADF).&nbsp;


In the transformation and load process, the uploaded dataset in Spark is read into Spark dataframes. Data tags are read into Spark in Databricks.


Finally, data is analyzed into Spark in Databricks using mount points, and data is visualized using bar charts.

"
9,Bitcoin Data Mining on AWS Free Tier,"Why Big data?
Real time streaming data being captured at regular intervals of time from millions of IOT devices like sensors, clickstreams, logs from the device APIs and historical data from SQL databases. To store the huge volumes of data with high velocity and veracity, we need an efficient scalable storage system which is distributed across different nodes either in local or in cloud.&nbsp;Here comes the Hadoop concept which can be classified into two groups -Storage and processing.&nbsp;Storage will be done in HDFS and processing is done using Map reduce.
Data Pipeline: 
It refers to a system for moving data from one system to another. The data may or may not be transformed, and it may be processed in real time (or streaming) instead of batches. Right from extracting or capturing data using various tools, storing raw data, cleaning, validating data, transforming data into query worthy format, visualisation of KPIs including Orchestration of the above process is data pipeline.
What we are going to do?
We are going to extract&nbsp;data from APIs using Python, parse it, save it to EC2 instance locally after that upload the data onto HDFS. Then reading the data using Pyspark from HDFS and perform analysis. The techniques we are going to use is Kyro serialisation technique and Spark optimisation techniques. An External table is going to be created on Hive/Presto and at last for visualizing the data we are going to use AWS Quicksight."
10,Ensemble Machine Learning Project - All State Insurance Claims Severity Prediction,"All State, a personal insurance company in the United States, is interested in leveraging data science to predict the severity and the cost of insurance claims post an unforeseen event.
This ensemble machine learning project will help you understand the best practices followed in approaching a data analytics problem through python language focusing on using data science packages. We will predict how severe insurance claims will be for All State. We accomplish this using ensemble machine learning algorithms.
We have also used TrueFoundry's ML Monitoring and Experiment tracking Solution known as MLFoundry to log the experiments, models, metrics, data &amp; features which can be used to generate informative dashboards and insights.&nbsp;
&nbsp;"
